投票所編號,投票所,候選人1,候選人1票數,候選人2,候選人2票數,候選人3,候選人3票數,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數,投票率
1661,拷潭里保福宮,董鳳松,378,,,,,378,95,473,0,473,243,716,0.6606
1662,拷潭里鎮潭宮,董鳳松,353,,,,,353,57,410,0,410,244,654,0.6269
1667,大寮國小至誠樓二年忠班,梁智雄,281,陳忠慶,427,,,708,17,725,0,725,425,1150,0.6304
1668,大寮國小至誠樓二年仁班,梁智雄,376,陳忠慶,470,,,846,27,873,0,873,413,1286,0.6788
1669,大寮國小至誠樓三年愛班,梁智雄,342,陳忠慶,509,,,851,14,865,0,865,460,1325,0.6528
1670,大寮國小至誠樓五年孝班,梁智雄,211,陳忠慶,667,,,878,21,899,0,899,466,1365,0.6586
1671,大寮里社區活動中心,梁智雄,276,陳忠慶,402,,,678,21,699,0,699,389,1088,0.6425
1674,三隆里社區活動中心,林洪碧珠,418,張簡敏雄,352,,,770,15,785,0,785,261,1046,0.7505
1675,三隆里慈隆宮,林洪碧珠,379,張簡敏雄,303,,,682,17,699,0,699,297,996,0.7018
1676,三隆里慈后宮,林洪碧珠,292,張簡敏雄,366,,,658,24,682,0,682,301,983,0.6938
1677,三隆里社區巡守隊服務處,林洪碧珠,455,張簡敏雄,407,,,862,25,887,0,887,394,1281,0.6924
1681,翁園里社區活動中心,蔡旭昇,754,,,,,754,99,853,0,853,432,1285,0.6638
1682,翁園國小樂活運動站右側教室,蔡旭昇,720,,,,,720,95,815,0,815,372,1187,0.6866
1683,翁園國小樂活運動站左側教室,蔡旭昇,555,,,,,555,112,667,0,667,319,986,0.6765
1686,和春技術學院大寮校區105教室,吳玉訓,537,,,,,537,143,680,0,680,454,1134,0.5996
1687,和春技術學院大寮校區106教室,吳玉訓,604,,,,,604,102,706,0,706,347,1053,0.6705
1688,中庄里勵志幼兒園多媒體教室,吳玉訓,520,,,,,520,122,642,0,642,397,1039,0.6179
1689,中庄里勵志幼兒園寶貝班教室,吳玉訓,838,,,,,838,188,1026,0,1026,588,1614,0.6357
1690,中庄國中2年1班教室,吳玉訓,549,,,,,549,86,635,0,635,319,954,0.6656
1691,中庄國小(B105教室),吳玉訓,706,,,,,706,142,848,0,848,503,1351,0.6277
1692,中庄國小(B106教室),吳玉訓,744,,,,,744,141,885,0,885,470,1355,0.6531
1693,中庄國小(B107教室),吳玉訓,655,,,,,655,117,772,0,772,498,1270,0.6079
1699,義仁里新社區活動中心,張簡堂山,349,許明得,423,,,772,16,788,0,788,222,1010,0.7802
1700,義仁里保安宮右側,張簡堂山,290,許明得,311,,,601,12,613,0,613,158,771,0.7951
1703,過溪里社區活動中心,吳應宗,538,陳秀英,588,,,1126,24,1150,0,1150,290,1440,0.7986
1704,過溪里濃公媽祖宮,吳應宗,263,陳秀英,367,,,630,15,645,0,645,224,869,0.7422
1708,會結里社區活動中心,蔡金獅,674,翁乙天,519,,,1193,19,1212,0,1212,297,1509,0.8032
1714,山頂國小大象班教室,顏明輝,368,楊秀花,344,,,712,19,731,0,731,382,1113,0.6568
1715,山頂里新社區活動中心左側,顏明輝,313,楊秀花,344,,,657,27,684,0,684,352,1036,0.6602
1716,山頂里新社區活動中心右側,顏明輝,293,楊秀花,480,,,773,16,789,0,789,556,1345,0.5866
1717,山頂國小海豚班教室,顏明輝,323,楊秀花,423,,,746,20,766,0,766,416,1182,0.6481
1718,山頂國小二年三班,顏明輝,310,楊秀花,437,,,747,21,768,0,768,341,1109,0.6925
1719,山頂國小語文教室1,顏明輝,299,楊秀花,357,,,656,17,673,0,673,408,1081,0.6226
1721,永芳里社區活動中心,簡寶麟,386,侯朝財,287,,,673,27,700,0,700,406,1106,0.6329
1722,永芳里太子大鑾宮,簡寶麟,409,侯朝財,269,,,678,33,711,0,711,340,1051,0.6765
1723,永芳里武聖宮,簡寶麟,461,侯朝財,155,,,616,15,631,0,631,356,987,0.6393
1724,永芳國小五年1班教室,簡寶麟,283,侯朝財,285,,,568,16,584,0,584,409,993,0.5881
1725,永芳國小五年3班教室,簡寶麟,322,侯朝財,395,,,717,30,747,0,747,446,1193,0.6262
1726,永芳國小六年2班教室,簡寶麟,275,侯朝財,335,,,610,24,634,0,634,380,1014,0.6252
1729,溪寮里社區活動中心,洪溪圳,249,王基安,354,,,603,7,610,0,610,121,731,0.8345
1730,溪寮國小(109教室),洪溪圳,170,王基安,401,,,571,8,579,0,579,125,704,0.8224
1733,昭明國小(114教室),黃榮文,451,張簡助昇,525,,,976,22,998,0,998,373,1371,0.7279
1734,昭明國小(127教室),黃榮文,351,張簡助昇,312,,,663,17,680,0,680,284,964,0.7054
1735,昭明國小(107教室),黃榮文,376,張簡助昇,339,,,715,26,741,0,741,316,1057,0.701
1737,中興里奧思幼兒園(右側教室),程秉鈞,185,蘇建明,502,王興智,197,884,14,898,0,898,525,1423,0.6311
1738,中興里奧思幼兒園(會議室),程秉鈞,150,蘇建明,478,王興智,84,712,17,729,0,729,330,1059,0.6884
1739,中興里奧思幼兒園(左側教室),程秉鈞,212,蘇建明,501,王興智,164,877,25,902,0,902,605,1507,0.5985
1740,中興里社區活動中心右側,程秉鈞,118,蘇建明,532,王興智,110,760,12,772,0,772,385,1157,0.6672
1741,中興里社區活動中心左側,程秉鈞,134,蘇建明,440,王興智,135,709,23,732,0,732,410,1142,0.641
1663,內坑里佛聖宮,蘇田採珠,349,黃裕玲,435,許玲妮,80,864,16,880,0,880,583,1463,0.6015
1664,內坑里舊社區活動中心,蘇田採珠,368,黃裕玲,382,許玲妮,43,793,7,800,0,800,396,1196,0.6689
1665,內坑里關東市大樓(會議室),蘇田採珠,303,黃裕玲,680,許玲妮,109,1092,28,1120,0,1120,881,2001,0.5597
1666,內坑里大崎腳玄明殿,蘇田採珠,118,黃裕玲,59,許玲妮,123,300,11,311,0,311,124,435,0.7149
1672,上寮里慈誠宮活動中心,洪敏智,474,簡天春,252,,,726,41,767,0,767,347,1114,0.6885
1673,上寮里慈安宮,洪敏智,555,簡天春,169,,,724,29,753,15,768,313,1081,0.7105
1678,琉球里社區發展協會,郭秀品,508,黃正利,296,,,804,19,823,0,823,259,1082,0.7606
1679,琉球里黃厝北極上帝殿,郭秀品,530,黃正利,467,,,997,30,1027,0,1027,368,1395,0.7362
1680,琉球里武侯宮,郭秀品,816,黃正利,269,,,1085,29,1114,0,1114,413,1527,0.7295
1684,前庄里社區活動中心左側,陳金晚,562,,,,,562,140,702,0,702,281,983,0.7141
1685,前庄里社區活動中心右側,陳金晚,713,,,,,713,61,774,0,774,429,1203,0.6434
1694,臺灣省私立高雄仁愛之家禮堂,黃義荃,498,鄭德文,358,,,856,27,883,0,883,414,1297,0.6808
1695,基督長老教會鳳屏教會一樓副廳,黃義荃,529,鄭德文,331,,,860,12,872,0,872,420,1292,0.6749
1696,後庄國小(家長聯絡室),黃義荃,444,鄭德文,373,,,817,21,838,0,838,410,1248,0.6715
1697,後庄里民眾老人活動中心,黃義荃,447,鄭德文,407,,,854,20,874,0,874,569,1443,0.6057
1698,後庄國小(117教室),黃義荃,586,鄭德文,485,,,1071,22,1093,0,1093,494,1587,0.6887
1701,新厝里社區活動中心,林東榮,233,張簡龍星,368,,,601,14,615,0,615,224,839,0.733
1702,新厝里福德祠,林東榮,219,張簡龍星,281,,,500,10,510,0,510,173,683,0.7467
1705,潮寮里新社區活動中心右側,吳致慧,655,,,,,655,66,721,0,721,256,977,0.738
1706,潮寮里新社區活動中心左側,吳致慧,612,,,,,612,48,660,0,660,242,902,0.7317
1707,潮寮里老人活動中心,吳致慧,705,,,,,705,42,747,0,747,236,983,0.7599
1709,會社里龍雄宮,簡鴻儒,422,,,,,422,117,539,0,539,721,1260,0.4278
1710,基督教中華循理會大寮教會,簡鴻儒,540,,,,,540,167,707,0,707,370,1077,0.6565
1711,會社里社區活動中心,簡鴻儒,509,,,,,509,128,637,0,637,390,1027,0.6203
1712,會社里南雄代天府,簡鴻儒,636,,,,,636,163,799,0,799,491,1290,0.6194
1713,高英工商弘道大樓D2教室,簡鴻儒,475,,,,,475,143,618,0,618,367,985,0.6274
1720,忠義里社區活動中心,邴健鵬,323,,,,,323,38,361,0,361,202,563,0.6412
1727,義和里社區活動中心,王順義,276,劉志陽,418,,,694,12,706,0,706,236,942,0.7495
1728,義和里代天府,王順義,289,劉志陽,454,,,743,19,762,0,762,233,995,0.7658
1731,江山里社區活動中心,簡秀枝,245,許世川,300,,,545,21,566,0,566,185,751,0.7537
1732,江山里溫仁宮,簡秀枝,317,許世川,419,,,736,30,766,0,766,218,984,0.7785
1736,光武里社區活動中心,孫治國,38,李亮然,107,,,145,2,147,0,147,47,194,0.7577
